orthogroup	AAL
MZ22500339	3405.7368420000003
MZ22500342	1671.833333
MZ22500344	1933.684211
MZ22500345	2899.0
MZ22500346	2050.0
MZ22500347	2043.55
MZ22500348	1612.238095
MZ22500350	1369.0
MZ22500352	2189.75
MZ22500357	1847.421053
MZ22500359	2006.315789
MZ22500360	1434.8
MZ22500361	2080.105263
MZ22500362	2083.315789
MZ22500363	1925.684211
MZ22500364	2061.842105
MZ22500365	2072.684211
MZ22500366	2105.9
MZ22500367	1864.789474
MZ22500369	1806.863636
MZ22500373	2133.95
MZ22500374	1564.9
MZ22500377	2606.368421
MZ22500381	2080.454545
MZ22500385	1158.0526320000001
MZ22500387	2012.789474
MZ22500388	2565.846154
MZ22500389	2056.7894739999997
MZ22500390	1950.05
MZ22500391	1318.0526320000001
MZ22500395	1180.190476
MZ22500396	2292.578947
MZ22500398	2289.7894739999997
MZ22500400	2119.684211
MZ22500402	2190.842105
MZ22500403	941.5172413999999
MZ22500404	1866.611111
MZ22500405	1555.315789
MZ22500407	2093.666667
MZ22500408	2189.684211
MZ22500413	1886.090909
MZ22500415	2185.842105
MZ22500421	1932.0
MZ22500424	1474.375
MZ22500427	2701.625
MZ22500429	2406.684211
MZ22500430	1637.6
MZ22500432	2193.75
MZ22500433	998.2222222000001
MZ22500434	1854.1578949999998
MZ22500438	1585.5
MZ22500440	1799.7368420000003
MZ22500442	1731.4545449999998
MZ22500443	2467.6
MZ22500445	1860.3461539999998
MZ22500448	1445.578947
MZ22500449	2035.95
MZ22500450	2527.578947
MZ22500453	2039.0526320000001
MZ22500456	2161.631579
MZ22500458	1981.3684210000001
MZ22500459	2291.7368420000003
MZ22500461	1246.8
MZ22500462	1917.2631579999997
MZ22500466	1834.8333329999998
MZ22500467	1217.333333
MZ22500468	1940.0526320000001
MZ22500469	1563.441176
MZ22500470	2698.15
MZ22500471	1418.666667
MZ22500472	1150.4285710000001
MZ22500473	2213.277778
MZ22500474	1924.789474
MZ22500475	1903.05
MZ22500480	1313.590909
MZ22500481	1608.4
MZ22500484	1856.526316
MZ22500485	1851.7
MZ22500486	2008.3
MZ22500487	1573.714286
MZ22500490	1354.3
MZ22500500	1652.611111
MZ22500501	1135.4545449999998
MZ22500502	2505.35
MZ22500504	1842.95
MZ22500506	1393.904762
MZ22500509	2229.25
MZ22500510	1507.3
MZ22500511	2061.7619050000003
MZ22500512	1811.9
MZ22500515	1934.6521739999998
MZ22500517	1844.2631579999997
MZ22500520	1787.1304350000003
MZ22500521	1943.1
MZ22500523	1998.5
MZ22500526	1349.473684
MZ22500528	1407.75
MZ22500529	883.3589743999999
MZ22500533	2660.75
MZ22500536	2514.526316
MZ22500537	1634.263158
MZ22500539	1202.588235
MZ22500540	2137.666667
MZ22500547	1814.4285710000001
MZ22500552	2071.105263
MZ22500553	1551.047619
MZ22500554	1716.894737
MZ22500555	1308.75
MZ22500557	2378.2
MZ22500558	1829.7
MZ22500562	1788.894737
MZ22500563	1687.684211
MZ22500565	1830.714286
MZ22500566	746.1111111
MZ22500570	1966.409091
MZ22500571	1067.36
MZ22500572	2446.04
MZ22500573	1992.4761899999999
MZ22500574	1244.261905
MZ22500576	1736.315789
MZ22500577	994.75
MZ22500579	1337.277778
MZ22500580	1898.45
MZ22500581	1651.2
MZ22500582	1562.578947
MZ22500583	1746.894737
MZ22500584	1110.8
MZ22500585	2672.1
MZ22500589	1456.038462
MZ22500590	1300.166667
MZ22500591	1217.92
MZ22500597	1876.894737
MZ22500599	1631.45
MZ22500601	1679.473684
MZ22500603	2298.444444
MZ22500605	1646.4285710000001
MZ22500607	812.4827586
MZ22500610	2428.315789
MZ22500611	2301.421053
MZ22500612	1352.526316
MZ22500613	2103.818182
MZ22500614	2071.2631579999997
MZ22500615	1706.266667
MZ22500618	1794.526316
MZ22500620	1541.1
MZ22500623	1839.4285710000001
MZ22500624	1701.3333329999998
MZ22500629	1540.444444
MZ22500630	1448.75
MZ22500633	2570.7
MZ22500634	1689.3684210000001
MZ22500635	1585.277778
MZ22500636	1810.05
MZ22500637	1541.2
MZ22500638	1216.521739
MZ22500640	1809.789474
MZ22500642	1784.0476190000002
MZ22500644	1240.142857
MZ22500645	1484.6
MZ22500647	1425.565217
MZ22500648	1395.1052630000001
MZ22500650	1582.35
MZ22500654	1786.1578949999998
MZ22500655	1534.25
MZ22500658	1745.421053
MZ22500664	1463.6315789999999
MZ22500665	1013.892857
MZ22500666	1877.3684210000001
MZ22500668	1714.421053
MZ22500670	1453.0
MZ22500671	1462.6315789999999
MZ22500673	1161.565217
MZ22500675	1843.4761899999999
MZ22500677	1617.3684210000001
MZ22500678	1267.1
MZ22500680	1628.5454550000002
MZ22500682	1484.636364
MZ22500683	804.1363636
MZ22500684	2169.285714
MZ22500687	2372.473684
MZ22500688	2003.578947
MZ22500690	1343.0625
MZ22500691	813.5517241
MZ22500693	1746.565217
MZ22500698	1674.363636
MZ22500699	1823.1578949999998
MZ22500701	1572.3684210000001
MZ22500705	1744.684211
MZ22500708	1819.578947
MZ22500710	1977.88
MZ22500713	1748.1538460000002
MZ22500715	2056.2631579999997
MZ22500721	1724.7222219999999
MZ22500722	1259.2352939999998
MZ22500723	1046.055556
MZ22500725	1692.55
MZ22500726	1519.578947
MZ22500728	1555.15
MZ22500731	1178.444444
MZ22500733	1546.578947
MZ22500734	1634.578947
MZ22500736	1713.625
MZ22500738	1105.1578949999998
MZ22500740	1603.473684
MZ22500741	1587.0
MZ22500742	1503.047619
MZ22500743	1572.6
MZ22500746	2093.7
MZ22500751	994.7586207
MZ22500752	1203.923077
MZ22500754	1682.25
MZ22500755	1999.0
MZ22500756	1522.111111
MZ22500757	2179.0
