orthogroup	SEL
MZ22500607	0.2699
MZ22500610	0.05764
MZ22500611	0.07617
MZ22500612	0.00835
MZ22500613	0.19792
MZ22500614	0.16871
MZ22500615	0.05677000000000001
MZ22500618	0.08221
MZ22500620	0.021
MZ22500623	0.08613
MZ22500624	0.24298000000000003
MZ22500629	0.0746
MZ22500630	0.03282
MZ22500633	0.1285
MZ22500634	0.04403
MZ22500635	0.15804
MZ22500636	0.23625
MZ22500637	0.023469999999999998
MZ22500638	0.061829999999999996
MZ22500640	0.06547
MZ22500642	0.02797
MZ22500644	0.10599000000000001
MZ22500645	0.02377
MZ22500647	0.06112000000000001
MZ22500648	0.0031
MZ22500650	0.04591
MZ22500654	0.03313
MZ22500655	0.10849
MZ22500658	0.039619999999999995
MZ22500664	0.040639999999999996
MZ22500665	0.21286
MZ22500666	0.10257000000000001
MZ22500668	0.02107
MZ22500670	0.06797
MZ22500671	0.15187
MZ22500673	0.13005
MZ22500675	0.048530000000000004
MZ22500677	0.05435
MZ22500678	0.12322999999999999
MZ22500680	0.17797000000000002
MZ22500682	0.044610000000000004
MZ22500683	0.28854
MZ22500684	0.10989000000000002
MZ22500687	0.07203
MZ22500688	0.12395
MZ22500690	0.17179
MZ22500691	0.12517
MZ22500693	0.03734
MZ22500698	0.10854000000000001
MZ22500699	0.10699000000000002
MZ22500701	0.03834
MZ22500705	0.01312
MZ22500708	0.030760000000000003
MZ22500710	0.1685
MZ22500713	0.02975
MZ22500715	0.10149
MZ22500721	0.04334
MZ22500722	0.18562
MZ22500723	0.04785
MZ22500725	0.07146
MZ22500726	0.046669999999999996
MZ22500728	0.00282
MZ22500731	0.02224
MZ22500733	0.04445
MZ22500734	0.1192
MZ22500736	0.0321
MZ22500738	0.01923
MZ22500740	0.06225
MZ22500741	0.0139
MZ22500742	0.1245
MZ22500743	0.026119999999999997
MZ22500746	0.17507
MZ22500751	0.07605
MZ22500752	0.0553
MZ22500754	0.041389999999999996
MZ22500755	0.054529999999999995
MZ22500756	0.05032
MZ22500757	0.0944
MZ22500758	0.041030000000000004
MZ22500762	0.06736
MZ22500765	0.04116
MZ22500767	0.20165999999999998
MZ22500769	0.057839999999999996
MZ22500770	0.07917
MZ22500772	0.05511
MZ22500773	0.05202999999999999
MZ22500775	0.009559999999999999
MZ22500776	0.08632999999999999
MZ22500779	0.09367
MZ22500781	0.10480999999999999
MZ22500783	0.02421
MZ22500784	0.09455
MZ22500785	0.10019
MZ22500788	0.07326
MZ22500790	0.03839
MZ22500791	0.11667000000000001
MZ22500793	0.03274
MZ22500794	0.03381
MZ22500795	0.02576
MZ22500799	0.03279
MZ22500800	0.09152
MZ22500802	0.13924
MZ22500804	0.07551000000000001
MZ22500806	0.036239999999999994
MZ22500810	0.048760000000000005
MZ22500811	0.011770000000000001
MZ22500814	0.03692
MZ22500817	0.019719999999999998
MZ22500818	0.05442999999999999
MZ22500820	0.11322
MZ22500821	0.16652
MZ22500822	0.01681
MZ22500828	0.08545
MZ22500834	0.02232
MZ22500835	0.0066
MZ22500838	0.10762999999999999
MZ22500839	0.03678
MZ22500840	0.04949
MZ22500841	0.05775
MZ22500842	0.15075
MZ22500843	0.04148
MZ22500845	0.02725
MZ22500846	0.02161
MZ22500847	0.11885
MZ22500848	0.03106
MZ22500851	0.15425
MZ22500853	0.11114
MZ22500854	0.1755
MZ22500855	0.07791000000000001
MZ22500858	0.08682000000000001
MZ22500859	0.03888
MZ22500861	0.15574000000000002
MZ22500862	0.03866
MZ22500864	0.09181
MZ22500865	0.015019999999999999
MZ22500866	0.0
MZ22500867	0.08581
MZ22500868	0.13007
MZ22500869	0.0436
