orthogroup	EXP
461at7399	1
462at7399	0
466at7399	0
468at7399	1
470at7399	0
476at7399	1
477at7399	4
480at7399	4
482at7399	0
486at7399	2
493at7399	6
497at7399	1
501at7399	1
502at7399	0
504at7399	3
511at7399	1
523at7399	0
527at7399	2
531at7399	1
534at7399	1
539at7399	3
541at7399	0
550at7399	5
551at7399	1
552at7399	0
556at7399	2
558at7399	0
560at7399	2
567at7399	0
569at7399	0
572at7399	1
577at7399	4
582at7399	3
589at7399	1
590at7399	0
598at7399	2
601at7399	0
603at7399	3
605at7399	0
607at7399	1
608at7399	4
617at7399	0
625at7399	2
635at7399	0
651at7399	0
659at7399	4
660at7399	4
665at7399	0
670at7399	0
674at7399	0
675at7399	2
683at7399	2
684at7399	0
685at7399	2
690at7399	6
691at7399	1
699at7399	3
700at7399	0
702at7399	0
705at7399	2
708at7399	2
711at7399	1
720at7399	2
724at7399	8
725at7399	2
728at7399	1
734at7399	1
739at7399	0
740at7399	0
748at7399	2
749at7399	3
750at7399	0
751at7399	0
759at7399	2
760at7399	0
764at7399	1
765at7399	0
767at7399	0
773at7399	1
775at7399	2
778at7399	3
780at7399	1
782at7399	3
786at7399	1
787at7399	0
788at7399	0
793at7399	3
796at7399	0
804at7399	1
805at7399	0
816at7399	3
826at7399	1
828at7399	4
830at7399	0
832at7399	0
833at7399	1
840at7399	0
848at7399	1
850at7399	1
854at7399	3
855at7399	1
863at7399	1
864at7399	0
867at7399	0
870at7399	3
872at7399	0
874at7399	0
877at7399	1
882at7399	0
883at7399	1
892at7399	1
893at7399	2
896at7399	1
905at7399	0
908at7399	0
909at7399	5
914at7399	4
916at7399	1
921at7399	0
922at7399	0
923at7399	1
926at7399	2
929at7399	1
934at7399	0
935at7399	7
937at7399	0
941at7399	2
944at7399	1
945at7399	0
946at7399	0
948at7399	0
952at7399	5
958at7399	1
961at7399	1
964at7399	3
967at7399	3
968at7399	1
971at7399	1
974at7399	2
981at7399	4
987at7399	1
988at7399	1
989at7399	1
992at7399	6
1002at7399	2
1004at7399	1
1007at7399	0
1008at7399	5
1010at7399	1
1012at7399	0
1014at7399	5
1016at7399	0
1018at7399	0
1022at7399	0
1030at7399	2
1035at7399	0
1042at7399	2
1044at7399	1
1045at7399	0
1048at7399	2
1052at7399	3
1057at7399	1
1058at7399	2
1060at7399	2
1064at7399	2
1066at7399	1
1072at7399	1
1075at7399	0
1078at7399	2
1081at7399	2
1082at7399	5
1085at7399	2
1087at7399	0
1088at7399	1
1089at7399	0
1095at7399	1
1096at7399	1
1097at7399	2
1098at7399	3
1105at7399	4
1106at7399	2
1107at7399	1
1110at7399	7
1115at7399	0
1116at7399	0
1117at7399	1
1119at7399	1
1121at7399	0
1124at7399	1
1130at7399	1
1144at7399	3
1147at7399	0
1148at7399	1
1154at7399	1
1158at7399	0
1159at7399	0
1163at7399	0
1164at7399	2
1165at7399	2
1167at7399	0
1172at7399	1
1177at7399	0
1184at7399	3
1188at7399	1
1190at7399	1
1192at7399	0
1193at7399	0
1194at7399	5
