orthogroup	LCA
MZ22501465	7
MZ22501467	7
MZ22501469	7
MZ22501474	7
MZ22501475	7
MZ22501477	7
MZ22501480	7
MZ22501481	7
MZ22501483	7
MZ22501484	7
MZ22501486	7
MZ22501491	7
MZ22501492	7
MZ22501496	7
MZ22501500	7
MZ22501503	7
MZ22501505	7
MZ22501506	7
MZ22501507	7
MZ22501510	7
MZ22501511	7
MZ22501512	7
MZ22501513	7
MZ22501515	7
MZ22501518	7
MZ22501520	7
MZ22501521	7
MZ22501526	7
MZ22501531	7
MZ22501533	7
MZ22501534	7
MZ22501535	7
MZ22501537	7
MZ22501541	7
MZ22501545	7
MZ22501546	7
MZ22501551	7
MZ22501552	7
MZ22501553	7
MZ22501554	7
MZ22501557	7
MZ22501559	7
MZ22501560	7
MZ22501561	7
MZ22501565	7
MZ22501566	7
MZ22501571	7
MZ22501572	7
MZ22501577	7
MZ22501578	7
MZ22501582	7
MZ22501587	7
MZ22501588	7
MZ22501591	7
MZ22501593	7
MZ22501595	7
MZ22501598	7
MZ22501599	7
MZ22501607	7
MZ22501608	7
MZ22501609	7
MZ22501610	7
MZ22501611	7
MZ22501613	7
MZ22501614	7
MZ22501625	7
MZ22501627	7
MZ22501628	7
MZ22501629	7
MZ22501630	7
MZ22501631	7
MZ22501632	7
MZ22501633	7
MZ22501636	7
MZ22501638	7
MZ22501641	7
MZ22501642	7
MZ22501644	7
MZ22501646	7
MZ22501648	7
MZ22501650	7
MZ22501652	7
MZ22501659	7
MZ22501660	7
MZ22501661	7
MZ22501662	7
MZ22501664	7
MZ22501669	7
MZ22501670	7
MZ22501671	7
MZ22501674	7
MZ22501675	7
MZ22501676	7
MZ22501678	7
MZ22501679	7
MZ22501681	7
MZ22501683	7
MZ22501685	7
MZ22501686	7
MZ22501690	7
MZ22501692	7
MZ22501693	7
MZ22501695	7
MZ22501698	7
MZ22501701	7
MZ22501703	7
MZ22501704	7
MZ22501707	7
MZ22501708	7
MZ22501713	7
MZ22501716	7
MZ22501719	7
MZ22501721	7
MZ22501727	7
MZ22501728	7
MZ22501729	7
MZ22501730	7
MZ22501731	7
MZ22501733	7
MZ22501734	7
MZ22501735	7
MZ22501740	7
MZ22501741	7
MZ22501745	7
MZ22501746	7
MZ22501747	7
MZ22501748	7
MZ22501749	7
MZ22501750	7
MZ22501751	7
MZ22501755	7
MZ22501756	7
MZ22501758	7
MZ22501759	7
MZ22501760	7
MZ22501761	7
MZ22501763	7
MZ22501764	7
MZ22501765	7
MZ22501766	7
MZ22501769	7
MZ22501772	7
MZ22501776	7
MZ22501777	7
MZ22501782	7
MZ22501784	7
MZ22501785	7
MZ22501789	7
MZ22501790	7
MZ22501796	7
MZ22501799	7
MZ22501800	7
MZ22501801	7
MZ22501809	7
MZ22501810	7
MZ22501811	7
MZ22501815	7
MZ22501822	7
MZ22501823	7
MZ22501828	7
MZ22501831	7
MZ22501838	7
MZ22501839	7
MZ22501845	7
MZ22501848	7
MZ22501849	7
MZ22501852	7
MZ22501856	7
MZ22501858	7
MZ22501860	7
MZ22501861	7
MZ22501863	7
MZ22501864	7
MZ22501865	7
MZ22501866	7
MZ22501867	7
MZ22501868	7
MZ22501873	7
MZ22501875	7
MZ22501876	7
MZ22501879	7
MZ22501882	7
MZ22501883	7
MZ22501887	7
MZ22501889	7
MZ22501892	7
MZ22501894	6
MZ22501896	7
MZ22501897	7
MZ22501902	7
MZ22501904	7
MZ22501905	7
MZ22501906	7
MZ22501907	7
MZ22501908	7
MZ22501909	7
MZ22501910	7
MZ22501911	7
MZ22501912	7
MZ22501913	7
MZ22501915	7
MZ22501916	7
MZ22501918	7
MZ22501919	7
MZ22501922	7
MZ22501924	7
MZ22501929	7
MZ22501932	7
MZ22501933	7
MZ22501934	7
MZ22501939	7
MZ22501940	7
MZ22501943	7
MZ22501944	7
MZ22501950	6
MZ22501951	7
MZ22501953	7
MZ22501954	7
MZ22501956	7
MZ22501957	7
MZ22501958	7
MZ22501960	7
MZ22501961	7
MZ22501964	7
MZ22501966	7
MZ22501969	7
MZ22501970	7
MZ22501971	7
MZ22501973	7
MZ22501975	7
MZ22501976	7
MZ22501977	7
MZ22501980	7
MZ22501986	7
MZ22501987	7
MZ22501991	7
MZ22501992	7
MZ22501996	7
MZ22501997	7
MZ22501999	7
MZ22502000	7
MZ22502001	7
MZ22502002	7
MZ22502005	7
MZ22502012	7
MZ22502015	7
MZ22502017	7
MZ22502018	7
MZ22502021	7
MZ22502023	7
MZ22502029	7
MZ22502030	7
MZ22502033	7
MZ22502034	7
MZ22502037	7
MZ22502039	7
MZ22502042	7
MZ22502043	7
MZ22502044	7
MZ22502046	7
MZ22502048	7
MZ22502049	7
MZ22502051	7
MZ22502052	7
MZ22502053	7
MZ22502055	7
MZ22502059	7
MZ22502060	7
MZ22502064	7
MZ22502065	7
MZ22502069	7
MZ22502070	7
MZ22502073	7
MZ22502075	7
MZ22502076	7
MZ22502077	7
MZ22502083	7
MZ22502085	7
MZ22502086	7
MZ22502090	7
MZ22502093	7
MZ22502094	7
MZ22502097	7
MZ22502098	7
MZ22502101	7
MZ22502102	7
MZ22502109	7
MZ22502110	7
MZ22502112	7
MZ22502113	7
MZ22502114	7
MZ22502115	7
MZ22502117	7
MZ22502118	7
MZ22502119	7
MZ22502121	7
MZ22502123	7
MZ22502126	7
MZ22502128	7
MZ22502132	7
MZ22502135	7
MZ22502137	7
MZ22502138	7
MZ22502139	7
MZ22502141	7
MZ22502142	7
MZ22502144	7
MZ22502145	7
MZ22502149	7
MZ22502151	7
MZ22502152	7
MZ22502156	7
MZ22502157	7
MZ22502158	7
MZ22502159	7
MZ22502161	7
MZ22502162	7
MZ22502163	7
MZ22502166	7
MZ22502168	7
MZ22502172	7
MZ22502173	7
MZ22502175	7
MZ22502179	7
MZ22502183	7
MZ22502185	7
MZ22502186	7
MZ22502187	7
MZ22502189	7
MZ22502190	7
MZ22502192	7
MZ22502194	7
MZ22502197	7
MZ22502198	7
MZ22502199	7
MZ22502200	7
MZ22502202	7
MZ22502203	7
MZ22502204	7
MZ22502205	7
MZ22502207	7
MZ22502208	7
MZ22502210	7
MZ22502215	7
MZ22502217	7
MZ22502218	7
MZ22502219	7
MZ22502224	7
MZ22502225	7
MZ22502227	7
MZ22502228	7
MZ22502229	7
MZ22502232	7
MZ22502237	7
MZ22502239	7
MZ22502241	7
MZ22502242	7
MZ22502244	7
MZ22502245	7
MZ22502251	7
MZ22502253	7
MZ22502255	7
MZ22502257	7
MZ22502259	7
MZ22502260	7
MZ22502263	7
MZ22502265	7
MZ22502267	7
MZ22502268	7
MZ22502270	7
MZ22502274	7
MZ22502275	7
MZ22502276	7
MZ22502278	7
MZ22502280	7
MZ22502282	7
MZ22502283	7
MZ22502288	7
MZ22502289	6
MZ22502290	7
MZ22502291	7
MZ22502292	7
MZ22502296	7
MZ22502300	7
MZ22502303	7
MZ22502304	6
MZ22502306	7
MZ22502307	7
MZ22502309	7
MZ22502312	7
MZ22502317	7
MZ22502318	7
MZ22502322	7
MZ22502323	7
MZ22502324	7
MZ22502327	7
MZ22502328	7
MZ22502329	7
MZ22502332	7
MZ22502333	7
MZ22502334	7
MZ22502335	7
MZ22502340	7
MZ22502343	7
MZ22502344	7
MZ22502347	7
MZ22502348	7
MZ22502350	7
MZ22502351	7
MZ22502352	7
MZ22502354	7
MZ22502361	7
MZ22502364	7
MZ22502365	7
MZ22502366	7
MZ22502368	7
MZ22502369	7
MZ22502371	7
MZ22502373	7
MZ22502375	7
MZ22502376	7
MZ22502377	7
MZ22502381	7
MZ22502383	7
MZ22502385	7
MZ22502386	7
MZ22502387	7
MZ22502390	7
MZ22502394	7
MZ22502400	7
MZ22502401	7
MZ22502403	7
MZ22502404	7
MZ22502406	7
MZ22502407	7
MZ22502408	7
MZ22502409	7
MZ22502412	7
MZ22502414	7
MZ22502417	7
MZ22502418	7
MZ22502421	7
MZ22502422	7
MZ22502426	7
MZ22502427	7
MZ22502428	7
MZ22502429	7
MZ22502430	7
MZ22502431	7
MZ22502432	7
MZ22502433	7
MZ22502434	7
MZ22502436	7
MZ22502437	7
MZ22502439	7
MZ22502440	7
MZ22502446	7
MZ22502449	7
MZ22502451	7
MZ22502452	7
MZ22502454	7
MZ22502457	7
MZ22502459	7
MZ22502460	7
MZ22502461	7
MZ22502462	7
MZ22502463	7
MZ22502464	7
MZ22502466	6
MZ22502470	7
MZ22502471	7
MZ22502474	7
MZ22502475	7
MZ22502477	7
MZ22502478	7
MZ22502480	7
MZ22502481	7
MZ22502482	7
MZ22502484	7
MZ22502485	7
MZ22502488	7
MZ22502491	7
MZ22502494	7
MZ22502495	7
