orthogroup	AEN
MZ22500413	7.772727272999999
MZ22500415	6.947368421
MZ22500421	8.842105262999999
MZ22500424	10.375
MZ22500427	8.708333332999999
MZ22500429	6.210526316
MZ22500430	10.9
MZ22500432	6.85
MZ22500433	5.1111111110000005
MZ22500434	5.0
MZ22500438	7.5
MZ22500440	14.31578947
MZ22500442	7.590909091
MZ22500443	4.28
MZ22500445	8.769230769
MZ22500448	4.3684210530000005
MZ22500449	6.85
MZ22500450	10.73684211
MZ22500453	5.1578947369999995
MZ22500456	5.789473684
MZ22500458	14.47368421
MZ22500459	21.36842105
MZ22500461	14.35
MZ22500462	16.78947368
MZ22500466	8.0
MZ22500467	3.5555555560000003
MZ22500468	7.631578947
MZ22500469	2.3823529409999997
MZ22500470	5.15
MZ22500471	2.4
MZ22500472	11.52380952
MZ22500473	4.166666667
MZ22500474	9.631578947000001
MZ22500475	8.2
MZ22500480	15.13636364
MZ22500481	3.25
MZ22500484	12.63157895
MZ22500485	8.1
MZ22500486	7.35
MZ22500487	8.142857142999999
MZ22500490	15.2
MZ22500500	6.722222222
MZ22500501	13.04545455
MZ22500502	6.2
MZ22500504	3.9
MZ22500506	9.904761905
MZ22500509	7.95
MZ22500510	7.4
MZ22500511	3.666666667
MZ22500512	8.85
MZ22500515	6.043478261000001
MZ22500517	6.947368421
MZ22500520	10.95652174
MZ22500521	10.1
MZ22500523	3.7
MZ22500526	6.842105263
MZ22500528	20.6
MZ22500529	13.87179487
MZ22500533	6.8
MZ22500536	8.210526316000001
MZ22500537	15.94736842
MZ22500539	10.35294118
MZ22500540	8.476190476000001
MZ22500547	5.333333333
MZ22500552	3.631578947
MZ22500553	5.80952381
MZ22500554	14.89473684
MZ22500555	15.9
MZ22500557	9.7
MZ22500558	8.5
MZ22500562	10.73684211
MZ22500563	9.368421052999999
MZ22500565	8.285714286000001
MZ22500566	10.11111111
MZ22500570	5.8636363639999995
MZ22500571	7.2
MZ22500572	11.44
MZ22500573	13.85714286
MZ22500574	16.07142857
MZ22500576	12.15789474
MZ22500577	2.0
MZ22500579	8.722222222000001
MZ22500580	4.5
MZ22500581	6.95
MZ22500582	7.210526316
MZ22500583	18.36842105
MZ22500584	5.08
MZ22500585	8.9
MZ22500589	10.15384615
MZ22500590	4.166666667
MZ22500591	7.6
MZ22500597	8.789473683999999
MZ22500599	6.15
MZ22500601	3.947368421
MZ22500603	2.5
MZ22500605	4.571428571
MZ22500607	2.517241379
MZ22500610	10.68421053
MZ22500611	7.947368421
MZ22500612	6.157894737
MZ22500613	5.409090909
MZ22500614	14.57894737
MZ22500615	8.533333333
MZ22500618	5.789473684
MZ22500620	13.05
MZ22500623	5.1428571430000005
MZ22500624	1.6666666669999999
