orthogroup	UNI
1060at7399	1.0
1064at7399	0.951219512
1066at7399	0.87804878
1072at7399	0.975609756
1075at7399	0.341463415
1078at7399	1.0
1081at7399	1.0
1082at7399	1.0
1085at7399	1.0
1087at7399	0.87804878
1088at7399	0.9024390240000001
1089at7399	1.0
1095at7399	0.9024390240000001
1096at7399	1.0
1097at7399	0.975609756
1098at7399	0.9024390240000001
1105at7399	0.975609756
1106at7399	1.0
1107at7399	0.87804878
1110at7399	1.0
1115at7399	0.975609756
1116at7399	1.0
1117at7399	1.0
1119at7399	1.0
1121at7399	1.0
1124at7399	1.0
1130at7399	1.0
1144at7399	1.0
1147at7399	1.0
1148at7399	1.0
1154at7399	1.0
1158at7399	1.0
1159at7399	1.0
1163at7399	1.0
1164at7399	1.0
1165at7399	1.0
1167at7399	1.0
1172at7399	1.0
1177at7399	1.0
1184at7399	0.951219512
1188at7399	1.0
1190at7399	1.0
1192at7399	0.975609756
1193at7399	1.0
1194at7399	1.0
1195at7399	1.0
1196at7399	1.0
1208at7399	1.0
1220at7399	1.0
1221at7399	1.0
1227at7399	1.0
1230at7399	1.0
1232at7399	0.975609756
1235at7399	0.975609756
1242at7399	1.0
1245at7399	0.975609756
1246at7399	1.0
1247at7399	0.926829268
1252at7399	0.87804878
1259at7399	0.975609756
1261at7399	1.0
1262at7399	0.926829268
1268at7399	0.39024390200000003
1274at7399	1.0
1275at7399	1.0
1278at7399	1.0
1279at7399	1.0
1282at7399	1.0
1283at7399	1.0
1286at7399	1.0
1287at7399	1.0
1288at7399	1.0
1289at7399	1.0
1290at7399	1.0
1293at7399	1.0
1294at7399	0.975609756
1296at7399	1.0
1297at7399	0.975609756
1298at7399	1.0
1299at7399	1.0
1303at7399	0.975609756
1307at7399	1.0
1313at7399	0.926829268
1314at7399	0.975609756
1318at7399	0.975609756
1322at7399	0.975609756
1325at7399	1.0
1329at7399	1.0
1330at7399	1.0
1331at7399	1.0
1334at7399	1.0
1335at7399	1.0
1336at7399	1.0
1339at7399	0.975609756
1342at7399	1.0
1343at7399	0.975609756
1348at7399	1.0
1355at7399	1.0
1356at7399	1.0
1360at7399	1.0
1362at7399	1.0
1363at7399	0.975609756
1366at7399	0.7560975609999999
1369at7399	1.0
1371at7399	0.853658537
1372at7399	0.975609756
1373at7399	1.0
1374at7399	1.0
1376at7399	0.975609756
1378at7399	1.0
