orthogroup	AGE
MZ22502408	43.0
MZ22502409	43.0
MZ22502412	43.0
MZ22502414	43.0
MZ22502417	27.90365678
MZ22502418	43.0
MZ22502421	43.0
MZ22502422	43.0
MZ22502426	43.0
MZ22502427	43.0
MZ22502428	43.0
MZ22502429	43.0
MZ22502430	43.0
MZ22502431	43.0
MZ22502432	43.0
MZ22502433	43.0
MZ22502434	43.0
MZ22502436	43.0
MZ22502437	43.0
MZ22502439	43.0
MZ22502440	43.0
MZ22502446	43.0
MZ22502449	43.0
MZ22502451	43.0
MZ22502452	43.0
MZ22502454	43.0
MZ22502457	43.0
MZ22502459	43.0
MZ22502460	43.0
MZ22502461	43.0
MZ22502462	43.0
MZ22502463	43.0
MZ22502464	43.0
MZ22502466	15.68373472
MZ22502470	43.0
MZ22502471	43.0
MZ22502474	43.0
MZ22502475	43.0
MZ22502477	43.0
MZ22502478	43.0
MZ22502480	43.0
MZ22502481	43.0
MZ22502482	43.0
MZ22502484	43.0
MZ22502485	27.90365678
MZ22502488	43.0
MZ22502491	43.0
MZ22502494	43.0
MZ22502495	43.0
MZ22502497	43.0
MZ22502498	43.0
MZ22502502	43.0
MZ22502505	43.0
MZ22502508	27.90365678
MZ22502510	43.0
MZ22502513	43.0
MZ22502517	43.0
MZ22502519	43.0
MZ22502521	43.0
MZ22502522	43.0
MZ22502523	43.0
MZ22502527	27.90365678
MZ22502528	43.0
MZ22502529	43.0
MZ22502532	43.0
MZ22502533	43.0
MZ22502535	43.0
MZ22502538	43.0
MZ22502539	43.0
MZ22502540	43.0
