orthogroup	DUP
1648at7399	0.0
1650at7399	0.027027027000000002
1652at7399	0.0
1656at7399	0.0
1659at7399	0.073170732
1664at7399	0.0
1668at7399	0.0
1672at7399	0.097560976
1674at7399	0.0
1678at7399	0.0
1686at7399	0.0
1688at7399	0.024390244
1689at7399	0.024390244
1694at7399	0.0
1695at7399	0.024390244
1696at7399	0.025
1701at7399	0.025
1702at7399	0.0
1709at7399	0.024390244
1712at7399	0.0
1713at7399	0.024390244
1716at7399	0.0
1720at7399	0.0
1722at7399	0.0
1723at7399	0.024390244
1728at7399	0.048780488
1730at7399	0.024390244
1733at7399	0.0
1734at7399	0.024390244
1747at7399	0.041666667000000004
1751at7399	0.075
1753at7399	0.081081081
1754at7399	0.0
1756at7399	0.45945945899999996
1757at7399	0.0
1763at7399	0.025
1767at7399	0.1
1768at7399	0.024390244
1783at7399	0.0
1786at7399	0.057142857000000005
1789at7399	0.073170732
1794at7399	0.048780488
1796at7399	0.129032258
1798at7399	0.0
1799at7399	0.048780488
1802at7399	0.024390244
1803at7399	0.026315789
1806at7399	0.024390244
1808at7399	0.0
1810at7399	0.075
1811at7399	0.048780488
1812at7399	0.0
1819at7399	0.073170732
1824at7399	0.0
1825at7399	0.05
1827at7399	0.024390244
1828at7399	0.0
1831at7399	0.05
1833at7399	0.0
1834at7399	0.0
1835at7399	0.0
1836at7399	0.0
1839at7399	0.0
1841at7399	0.0
1842at7399	0.0
1846at7399	0.024390244
1849at7399	0.025
1854at7399	0.048780488
1861at7399	0.0
1862at7399	0.048780488
1865at7399	0.0
1867at7399	0.024390244
1868at7399	0.0
1880at7399	0.0
1883at7399	0.0
1886at7399	0.0
1889at7399	0.073170732
1891at7399	0.026315789
1893at7399	0.048780488
1894at7399	0.073170732
1895at7399	0.073170732
1898at7399	0.073170732
1899at7399	0.024390244
1901at7399	0.024390244
1903at7399	0.0
1911at7399	0.0
1913at7399	0.048780488
1917at7399	0.05
1921at7399	0.0
1923at7399	0.0
1926at7399	0.0
1930at7399	0.0
1931at7399	0.048780488
1934at7399	0.024390244
1939at7399	0.051282050999999995
1941at7399	0.0
1942at7399	0.0
1944at7399	0.0
1948at7399	0.0
1949at7399	0.024390244
1957at7399	0.024390244
1959at7399	0.025
1962at7399	0.024390244
1964at7399	0.054054054000000004
1966at7399	0.05
1969at7399	0.027027027000000002
1971at7399	0.024390244
1978at7399	0.0
1980at7399	0.068965517
1989at7399	0.243243243
1995at7399	0.0
1997at7399	0.097560976
1999at7399	0.0
2007at7399	0.024390244
2010at7399	0.0
