orthogroup	ACN
MZ22500120	1.0
MZ22500123	1.0526315789473684
MZ22500124	1.0526315789473684
MZ22500126	1.4210526315789473
MZ22500128	1.4736842105263157
MZ22500132	1.0555555555555556
MZ22500133	1.105263157894737
MZ22500134	1.3157894736842106
MZ22500135	1.0526315789473684
MZ22500137	1.5263157894736843
MZ22500138	1.5789473684210527
MZ22500139	1.1578947368421053
MZ22500141	1.105263157894737
MZ22500142	1.105263157894737
MZ22500144	1.368421052631579
MZ22500147	1.0
MZ22500149	1.0526315789473684
MZ22500152	1.0526315789473684
MZ22500154	1.0526315789473684
MZ22500155	1.0769230769230769
MZ22500156	1.0
MZ22500158	1.0526315789473684
MZ22500160	1.0
MZ22500162	1.2222222222222223
MZ22500163	1.2105263157894737
MZ22500164	1.0
MZ22500166	1.105263157894737
MZ22500169	1.105263157894737
MZ22500170	1.105263157894737
MZ22500171	1.9473684210526316
MZ22500172	1.1666666666666667
MZ22500173	1.0
MZ22500174	1.0526315789473684
MZ22500176	1.0526315789473684
MZ22500177	1.0555555555555556
MZ22500179	1.0555555555555556
MZ22500180	1.368421052631579
MZ22500181	1.0
MZ22500182	1.1578947368421053
MZ22500183	1.263157894736842
MZ22500187	1.4615384615384615
MZ22500188	1.5555555555555556
MZ22500190	1.0
MZ22500194	1.0526315789473684
MZ22500196	1.2105263157894737
MZ22500197	1.0555555555555556
MZ22500202	1.0
MZ22500204	1.105263157894737
MZ22500205	1.0
MZ22500208	1.0
MZ22500211	1.0526315789473684
MZ22500214	1.0
MZ22500215	1.0
MZ22500216	1.0526315789473684
MZ22500219	1.105263157894737
MZ22500225	1.1176470588235294
MZ22500230	1.105263157894737
MZ22500233	1.0526315789473684
MZ22500234	1.0526315789473684
MZ22500235	1.0
MZ22500238	1.9473684210526316
MZ22500239	1.105263157894737
MZ22500240	1.631578947368421
MZ22500243	1.0
MZ22500244	1.0555555555555556
MZ22500246	1.4210526315789473
MZ22500247	1.1578947368421053
MZ22500251	1.0
MZ22500252	1.0526315789473684
MZ22500257	1.0
MZ22500259	1.0526315789473684
MZ22500265	1.0
MZ22500266	1.2777777777777777
MZ22500267	1.0526315789473684
MZ22500268	1.0
MZ22500275	1.0
MZ22500276	1.0526315789473684
MZ22500277	1.0
MZ22500278	1.0
MZ22500280	1.0526315789473684
MZ22500281	1.0526315789473684
MZ22500285	1.0526315789473684
