gene	CAF
GB50224,GB50224	0.929
GB41423	0.7020000000000001
GB55746	0.877
GB42054,GB42054	0.866
GB54206	0.743
GB51242	0.9490000000000001
GB47208	0.485
GB44906	0.7020000000000001
GB55913	0.7020000000000001
GB42200	0.7020000000000001
GB45958	0.858
GB42763	0.706
GB52567	0.997
GB50958	0.7020000000000001
GB54198	0.934
GB40400	0.855
GB47428	0.9420000000000001
GB53243	0.7020000000000001
GB42773	0.7020000000000001
GB40627	0.888
GB53396	0.904
GB48097	0.823
GB50415	0.7020000000000001
GB55790	1.0
GB40310	0.912
GB46457	0.956
GB53089	0.935
GB51159	0.94
GB51348,GB51348	0.877
GB40017	0.7020000000000001
GB55847	0.7020000000000001
GB42844	0.807
GB55411	0.647
GB45479	0.94
GB53791,GB53791	0.855
GB43463	0.7020000000000001
GB43093	0.9490000000000001
GB48074	0.998
GB44885	0.934
GB53173	0.7020000000000001
GB50743	0.924
GB44321	0.938
GB54053	0.9540000000000001
GB55573	0.737
GB54216	0.7020000000000001
GB45284	0.915
GB46739	0.878
GB48474	0.7020000000000001
GB54225,GB54226,GB54226	0.992
GB41855	0.94
GB43881	0.7020000000000001
GB52989	0.9490000000000001
GB45873	0.93
GB44537	0.6659999999999999
GB44067	0.6940000000000001
GB49223	0.7020000000000001
GB54389	0.948
GB46212	0.593
GB54625	0.935
GB43567	0.73
GB41424	0.9420000000000001
GB55188	0.904
GB43685	0.7020000000000001
GB51717	0.7020000000000001
GB43556	0.9
GB44027	0.478
GB44433	0.7020000000000001
GB41122	0.9420000000000001
GB49320	0.7020000000000001
GB52106	0.94
GB49325	0.7020000000000001
GB54582	0.797
GB53740	0.8009999999999999
GB46800	0.9440000000000001
GB42325	0.8809999999999999
GB41608	0.7020000000000001
GB54751	0.996
GB54600	0.955
GB55618	0.7020000000000001
GB44155	0.877
GB42352	0.929
GB43314	0.816
GB45156	0.7020000000000001
GB52673	0.696
GB48261	0.934
GB49391	0.706
GB40676	0.7020000000000001
GB41450	0.7020000000000001
GB54592	0.973
GB50669	0.758
GB47894	0.77
GB45292	0.94
GB41601	0.743
GB41680	0.66
GB54176	0.818
GB48946	0.7020000000000001
GB50419	0.935
GB52618	0.862
GB49800	0.659
GB51641	0.7020000000000001
GB49419	0.904
GB48263	0.951
GB43163	0.7020000000000001
GB51189	0.9440000000000001
GB42201	0.904
GB41592	0.713
GB40774	0.9490000000000001
GB51745	0.915
GB45388,GB51874	0.9279999999999999
GB44709	0.956
GB44535	0.7020000000000001
GB41356	0.7829999999999999
GB55793,GB55793	0.943
GB40100	0.7020000000000001
GB52453	0.7020000000000001
GB42853	0.992
GB43276	0.66
GB50789	0.7020000000000001
GB45360	0.7020000000000001
GB53011	0.9490000000000001
GB55854	0.955
GB41278,GB49900	0.85
GB50283,GB50283	0.5329999999999999
GB51210	0.935
GB45355	0.9690000000000001
GB49126	0.7020000000000001
GB45138	0.9390000000000001
GB42847,GB48093	0.943
GB41875	0.7020000000000001
GB42894,GB42894	0.935
GB40203	0.7979999999999999
GB52679	0.9420000000000001
GB55907	0.665
GB48571	0.9420000000000001
GB46301	0.9009999999999999
GB53021	0.7020000000000001
GB54609	0.997
GB40598	0.9359999999999999
GB41226	0.55
GB40507	0.698
GB52432,GB54695	0.904
GB51355	0.706
GB40515	0.7020000000000001
GB46251	0.7020000000000001
GB48162	0.934
GB44510	0.9940000000000001
GB40740	0.893
GB40540	0.7020000000000001
GB55700	0.743
GB44481	0.9540000000000001
GB48375	0.877
GB46487	0.945
GB47339	0.564
GB43189	0.987
GB43899	0.94
GB40818	0.929
GB48925	0.956
GB50971	0.7020000000000001
GB41783	0.915
GB49150	0.9440000000000001
GB53989	0.513
GB42548	0.96
GB47195	0.8440000000000001
GB51940	0.9840000000000001
GB48551	0.956
