gene	ACN
GB45755	1.025
GB42735	1.048780488
GB47242	1.0243902440000001
GB46599	1.0
GB50195	1.525
GB48625	1.0
GB52109	1.0243902440000001
GB50635	1.0731707320000001
GB49931	1.0731707320000001
GB50660	1.0
GB48483	1.0731707320000001
GB55378	1.0
GB49995	1.048780488
GB48523	1.0243902440000001
GB42670	1.0243902440000001
GB48639	1.0
GB40204	1.243902439
GB44808	1.048780488
GB54551,GB54502	1.951219512
GB42058	1.0
GB45905	1.0243902440000001
GB44117	1.048780488
GB45881	1.0
GB45690	1.025
GB52457	1.15
GB48530	1.0243902440000001
GB48399,GB42391	1.0243902440000001
GB49197,GB49197	1.0731707320000001
GB50345	1.048780488
GB43730	1.0731707320000001
GB44650	1.05
GB47231	1.0
GB52589	1.0
GB44754	1.0243902440000001
GB53284	1.0
GB53353	1.027027027
GB49388	1.0
GB49096	1.0
GB55658	1.097560976
GB40859	1.0
GB52541	1.0
GB55641,GB45533	1.097560976
GB40033	1.0
GB50395	1.0
GB42066	1.0
GB49844	1.0243902440000001
GB41174	1.048780488
GB55751	1.0
GB47683	1.0243902440000001
GB40280	1.075
GB40878	1.025
GB55002	1.0
GB51706	1.0243902440000001
GB49921	1.0
GB44594	1.0243902440000001
GB50204	1.0
GB54425	1.0
GB44933	1.0
GB54593	1.0243902440000001
GB41507	1.048780488
GB51273	1.0243902440000001
GB51852	1.0
GB43909	1.0243902440000001
GB45970	1.041666667
GB42683,GB52566	1.075
GB51775	1.081081081
GB44330	1.0
GB45277	1.594594595
GB47414	1.0
GB48117	1.025
GB55225	1.1
GB54995	1.0243902440000001
GB54893	1.0
GB41919,GB41921	1.057142857
GB40581,GB40581	1.0731707320000001
GB51219	1.048780488
GB45442	1.129032258
GB44429	1.0
GB47138	1.048780488
GB51133	1.0243902440000001
GB42967	1.026315789
GB50959	1.0243902440000001
GB51544	1.0
GB40603	1.075
GB51511,GB51511	1.048780488
GB48426	1.0
GB48396	1.0731707320000001
GB46691	1.0
GB42220	1.05
GB54700	1.0243902440000001
GB53083	1.0
GB51953	1.05
GB49406	1.0
GB53690	1.0
GB44912	1.0
GB51612	1.0
GB50141	1.0
GB53073	1.0
GB41723	1.0
GB52328	1.0243902440000001
GB55820	1.025
GB46016	1.048780488
GB43407	1.0
GB43945	1.048780488
GB52916	1.0
GB45968	1.0243902440000001
GB48247	1.0
GB41900	1.0
GB43074	1.0
GB45623	1.0
GB54273	1.0731707320000001
GB47961,GB41597	1.026315789
GB47437	1.0731707320000001
GB51134	1.097560976
GB49642	1.0731707320000001
GB42756	1.097560976
GB53963,GB50291	1.0243902440000001
GB44414	1.0243902440000001
GB53825	1.0
GB55715	1.0
GB54378	1.048780488
GB43239	1.05
GB55775	1.0
GB45212	1.0
GB54348	1.0
GB53306	1.0
GB55146	1.0731707320000001
GB49438,GB49438	1.0243902440000001
GB55826	1.076923077
GB44890	1.0
GB45762	1.0
GB54649	1.0
GB51748	1.0243902440000001
GB53231	1.0243902440000001
GB54780	1.025
GB54127	1.0243902440000001
GB54921,GB54921	1.05
GB43465,GB41957	1.027027027
GB55770	1.0243902440000001
GB48158	1.0
GB48463	1.068965517
GB51696	1.27027027
GB46731	1.0
GB45370	1.097560976
GB52304	1.0
GB46018	1.0243902440000001
GB54119	1.0
GB43470	1.048780488
GB53865,GB53865,GB53865	1.05
GB53651	1.0
GB50246	1.0243902440000001
GB45564	1.052631579
GB40657	1.0
GB47280	1.025
GB54269	1.0
GB48229	1.15
GB55578	1.0
GB44174	1.0
GB54885	1.0243902440000001
GB42076	1.0
GB49290	1.131578947
GB40316	1.025
GB42925	1.025
GB45967	1.146341463
GB51702	1.0
GB43817	1.057142857
GB50133	1.0243902440000001
GB52224	1.0
GB48347	1.0243902440000001
GB55567	1.0
GB55579	1.0243902440000001
GB55239	1.0
GB40803	1.0243902440000001
GB45646	1.0
GB40893	1.0243902440000001
GB53657	1.048780488
GB48923	1.0243902440000001
GB42731	1.0
GB44648,GB44647	2.097560976
GB51120	1.0
GB45214	1.097560976
GB44881	1.0
GB45084	1.027027027
GB55244	1.0
GB54035	1.025
GB54213	1.05
GB50359	1.0731707320000001
GB53606	1.0
GB50369	1.048780488
GB54664	1.048780488
GB44000	1.075
GB42977	1.048780488
GB41345	1.0
GB49680	1.0
GB51693	1.0
GB49480,GB49480	1.048780488
GB46693	1.0
GB50538	1.0
GB53122,GB53118,GB49568	2.0
GB43908	2.0487804880000002
GB52086	1.0
GB54143,GB54143	1.170731707
GB41883	1.0
GB40420	1.048780488
GB51500	1.146341463
GB42401	1.12195122
GB54313	1.0
GB50605,GB50606	1.1875
GB46982	1.025641026
GB52165	1.0
GB45001	1.0
GB49755	1.0
GB55272	1.0243902440000001
GB49184	1.0
GB42138	1.05
GB40823	1.236842105
GB51130	1.0
GB40014	1.0243902440000001
GB55164	1.0731707320000001
GB53384	1.075
GB50997	1.0
GB44247	1.0
GB42619	1.083333333
GB48949	1.0
GB52249	1.0
