species1	species2	AGE
AMINM	AMELC	15.683734722
AMINM	AMERM	15.683734722
AMINM	AQUAS	15.683734722
AMINM	ASINS	27.90365678
AMINM	ASTEI	11.785521739
AMINM	ASTES	11.785521739
AQUAS	AALBS	43
AQUAS	AARAD	1.364364018
AQUAS	AATRE	27.90365678
AQUAS	ACHRA	9.663417743
AQUAS	ACULA	15.683734722
AQUAS	ADARC	43
AQUAS	ADIRW	19.196826645
AQUAS	AEPIE	11.57917827
AQUAS	AFARF	19.196826645
AQUAS	AFUNF	15.683734722
AQUAS	AGAMP	1.97980751599999
AQUAS	AMACM	15.683734722
AQUAS	AMELC	1.72922562879999
AQUAS	AMERM	1.72922562879999
AQUAS	AMINM	15.683734722
AQUAS	ASINS	27.90365678
AQUAS	ASTEI	15.683734722
AQUAS	ASTES	15.683734722
ASINS	AALBS	43
ASINS	AARAD	27.90365678
ASINS	AATRE	13.71997404
ASINS	ACHRA	27.90365678
ASINS	ACULA	27.90365678
ASINS	ADARC	43
ASINS	ADIRW	27.90365678
ASINS	AEPIE	27.90365678
ASINS	AFARF	27.90365678
ASINS	AFUNF	27.90365678
ASINS	AGAMP	27.90365678
ASINS	AMACM	27.90365678
ASINS	AMELC	27.90365678
ASINS	AMERM	27.90365678
ASINS	AMINM	27.90365678
ASINS	AQUAS	27.90365678
ASINS	ASTEI	27.90365678
ASINS	ASTES	27.90365678
ASTEI	AALBS	43
ASTEI	AARAD	15.683734722
ASTEI	AATRE	27.90365678
ASTEI	ACHRA	15.683734722
ASTEI	ACULA	11.785521739
ASTEI	ADARC	43
ASTEI	ADIRW	19.196826645
ASTEI	AEPIE	15.683734722
ASTEI	AFARF	19.196826645
ASTEI	AFUNF	11.785521739
ASTEI	AGAMP	15.683734722
ASTEI	AMACM	6.854246331
ASTEI	AMELC	15.683734722
ASTEI	AMERM	15.683734722
ASTEI	AMINM	11.785521739
ASTEI	AQUAS	15.683734722
ASTEI	ASINS	27.90365678
ASTEI	ASTES	0.676160812999996
ASTES	AALBS	43
ASTES	AARAD	15.683734722
ASTES	AATRE	27.90365678
ASTES	ACHRA	15.683734722
ASTES	ACULA	11.785521739
ASTES	ADARC	43
ASTES	ADIRW	19.196826645
ASTES	AEPIE	15.683734722
ASTES	AFARF	19.196826645
ASTES	AFUNF	11.785521739
ASTES	AGAMP	15.683734722
ASTES	AMACM	6.854246331
ASTES	AMELC	15.683734722
ASTES	AMERM	15.683734722
ASTES	AMINM	11.785521739
ASTES	AQUAS	15.683734722
ASTES	ASINS	27.90365678
ASTES	ASTEI	0.676160812999996
